# word	frequency
привет	1000
приветствие	210
прекрасно	780
пожалуйста	980
помощь	880
помочь	760
почему	820
потому	710
потом	650
понял	620
поняла	610
понимаю	800
спасибо	1000
сегодня	900
сейчас	880
сказать	670
скажите	760
сделать	700
здравствуйте	1000
здравствуй	740
завтра	850
зачем	560
значит	540
хорошо	960
хороший	720
хорошая	710
хорошее	650
хорошие	640
как	1000
когда	880
который	620
которая	610
которые	590
можно	940
может	760
можете	720
меня	900
мне	920
мой	650
моя	640
мы	800
вы	930
вас	880
вам	870
ваш	680
ваша	670
это	980
этот	720
эта	700
эти	660
есть	900
если	820
очень	930
один	650
одна	640
русский	760
русская	710
русское	640
язык	830
изучаю	760
извините	870
извини	620
работа	720
работаю	700
работать	690
учиться	650
учусь	720
университет	640
документ	600
день	900
дела	880
делать	780
делаю	690
доброго	680
добрый	900
доброе	840
добрая	620
вечер	840
утро	820
ответ	700
ответить	650
информация	620
вопрос	780
время	760
нужно	850
нужен	640
нужна	630
нужны	600
правильно	740
ошибка	680
письмо	690
сообщение	700
